26,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,10,0,1,1,0,0,1,0,10,0,1,0,10,0,1,1,0,0,1,1,0,10,1,1,0,10,1,0,10,0,1,0,0,0,10,1,1,0,0,10,1,1,10,0,1,1,0,0,9,1,1,10,1,1,3,0,9,1,10,2,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
27,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,2,2,10,0,1,1,1,0,0,0,10,1,1,1,10,0,1,1,0,0,1,1,0,10,1,1,0,10,1,0,9,0,1,1,0,0,10,1,1,0,0,10,0,1,10,0,2,1,0,0,9,1,1,9,1,2,3,0,9,1,10,2,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
28,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,0,10,0,1,0,0,0,1,1,10,1,1,1,9,0,0,0,0,0,1,1,0,10,1,1,0,10,0,0,10,0,1,1,0,0,10,1,1,0,0,10,0,0,10,0,1,1,0,0,9,1,1,10,1,1,1,0,10,1,10,1,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
29,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 2,Frase 1,Frase 1,1,1,10,1,1,1,0,0,1,1,9,0,1,0,10,0,0,0,0,0,2,2,0,10,1,1,0,10,0,0,10,0,1,1,0,0,10,1,1,0,0,10,0,0,10,0,2,1,0,0,9,1,1,10,1,1,1,0,9,2,10,2,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
30,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,10,0,1,0,1,0,2,1,10,0,1,1,9,0,0,0,0,0,1,0,0,10,1,1,0,10,0,0,9,0,2,2,0,0,9,1,1,0,0,10,1,2,10,0,1,2,0,0,10,1,1,10,1,2,2,0,9,1,9,2,2,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
31,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 2,Frase 1,Frase 1,Frase 1,3,3,9,2,0,0,1,0,1,1,10,0,1,1,10,0,2,0,0,0,1,2,0,9,1,0,0,10,1,0,10,0,1,1,0,0,10,2,1,0,0,10,1,1,10,0,1,1,0,0,10,1,1,9,1,1,1,0,9,1,9,1,1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1
32,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 2,1,1,9,1,0,0,0,0,0,0,0,10,1,1,1,9,0,0,0,0,1,1,0,9,1,1,0,8,0,0,9,0,1,1,0,0,10,1,1,0,0,10,1,1,9,0,1,1,0,0,8,1,1,8,1,2,1,0,9,1,8,3,2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1
33,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,2,0,9,0,1,1,0,0,2,1,9,0,1,0,9,0,2,2,0,0,2,2,0,10,0,0,0,8,0,0,9,3,2,2,0,0,8,2,2,0,0,10,2,2,9,0,1,0,0,0,8,3,2,9,2,2,2,0,10,2,0,8,2,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
34,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 2,1,1,9,0,2,0,0,1,1,1,10,0,2,0,9,0,0,0,0,0,0,0,0,7,3,2,0,10,0,0,10,1,2,1,0,0,8,3,1,0,0,10,2,3,10,0,1,2,0,0,10,2,2,9,1,1,1,0,7,1,10,2,2,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1
35,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,2,9,0,2,0,0,0,1,0,9,1,2,0,10,0,1,0,0,0,1,0,0,10,0,1,0,10,0,0,10,1,1,1,0,0,10,1,1,0,0,10,1,1,10,0,2,2,0,0,9,3,3,9,2,2,2,0,10,2,9,2,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
36,Frase 2,Frase 1,Frase 2,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,2,2,10,0,0,0,0,2,2,1,9,0,1,0,10,0,2,0,0,0,3,3,0,10,1,1,0,10,1,0,9,0,3,3,0,0,9,2,0,0,2,10,2,0,10,0,1,2,1,0,9,2,1,7,1,2,2,0,10,2,10,1,2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2
